Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,Unit_Price,Extended_Price,Mouser_Part_Number,Packaging,Status
D1,1,BAS16TS_R1_00001,,,,Diode_SMD:D_SOD-523,https://assets.nexperia.com/documents/data-sheet/BAS16_SER.pdf,N/A,N/A,,,Not found
"J1,J3,J4,J5,J7,J8,J9,J11,J12,J20",10,Conn_01x02,,,,Connector_AMASS:AMASS_XT30U-F_1x02_P5.0mm_Vertical,~,N/A,N/A,,,Not found
J2,1,USB-C,,,,USB-C:AMPHENOL_GSB1C4621DS2HR,~,N/A,N/A,,,Not found
J6,1,216700-0609,,,,216700-0609:2167000609,https://www.molex.com/en-us/products/part-detail/2167000609,N/A,N/A,,,Not found
"J10,J18",2,UART-OUT,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,N/A,N/A,,,Not found
J13,1,Conn_01x01_Shielded,,,,RF_Antenna:Texas_SWRA416_868MHz_915MHz,~,N/A,N/A,,,Not found
J14,1,Conn_DEBUG_1,,,,MM8030-2610RK0:MM80302610RK0,~,N/A,N/A,,,Not found
J15,1,SERVO-OUT-1,,,,Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical,~,N/A,N/A,,,Not found
J16,1,216701-0609,,,,216701-0609:2167010609,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/216/216701/2167010609_sd.pdf,N/A,N/A,,,Not found
J17,1,SERVO-OUT-2,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,N/A,N/A,,,Not found
J19,1,JTAG,,,,Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical,~,N/A,N/A,,,Not found
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10",10,Q_NMOS_GSD,,,,Package_TO_SOT_SMD:SOT-23W,~,N/A,N/A,,,Not found
U1,1,F28P550SG8PNAR,,,,Package_QFP:TQFP-80_12x12mm_P0.5mm,,N/A,N/A,,,Not found
U2,1,LSM6DS3,,,,Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,www.st.com/resource/en/datasheet/lsm6ds3.pdf,N/A,N/A,,,Not found
U3,1,KX122-1042,,,,Package_LGA:LGA-12_2x2mm_P0.5mm,http://kionixfs.kionix.com/en/datasheet/KX112-1042-Specifications-Rev-6.0.pdf,N/A,N/A,,,Not found
U4,1,STM32WL33KBV6,,,,Package_DFN_QFN:VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm_ThermalVias,,N/A,N/A,,,Not found
U5,1,CD74HC4067SM,,,,Package_SO:SSOP-24_5.3x8.2mm_P0.65mm,http://www.ti.com/lit/ds/symlink/cd74hc4067.pdf,N/A,N/A,,,Not found
U6,1,SC0914_13_,,,,SC0914_13_:SC091413,,N/A,N/A,,,Not found
"U7,U10",2,LTE3401LX,,,,LTE3401LX:LTE3401LX,,N/A,N/A,,,Not found
U9,1,AP61402,,,,216700-0609:V-DFN1515-6,,N/A,N/A,,,Not found
U11,1,MIC2876,,,,QFN_EXT:DFN-8-1EP_2x2mm_P0.5mm_EP0.6x1.2mm,,N/A,N/A,,,Not found
U12,1,"ICP-10111,IS25LP040E-JYLE-TR",,,,"ICP-10111:ICP10111,IS25LP040E-JYLE-TR:SON50P300X200X60-9N",,N/A,N/A,,,Not found
U13,1,NX3DV221TKX,,,,NX3DV221TKX:SON50P300X300X100-11N,,N/A,N/A,,,Not found
"U14,U15",2,NCV7344AD10R2G,,,,NCV7344AD10R2G:SOIC127P600X175-8N,,N/A,N/A,,,Not found
Y1,1,Crystal_GND24_Small,,,,Oscillator:Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,~,N/A,N/A,,,Not found
